track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
6QewNVIDKdSl8Y3ycuHIei,Even Flow,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,5B4PYA7wNN4WdEXdIJu58a,292580,1991-08-27,80,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,5LbHbwejgZXRZAgzVAjkhj,285200,1990-08-01,77,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,285200,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
7nnWIPM5hwE3DaUBkvOIpy,Drive,3YcBF2ttyueytpXtEzn1Za,Incubus,2i6nd4FV6y7K9fln6eelmR,232453,1999-10-26,79,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,6olE6TJLqED3rqDCT0FyPh,Nirvana,2guirTSEqLizK7j9i1MTTZ,301920,1991-09-26,80,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
70LcF31zb1H0PyJoS1Sx1r,Creep,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,3gBVdu4a1MMJVMy6vwPEb8,238640,1993-02-22,89,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
4BggEwLhGfrbrl7JBhC8EC,Butterfly,4iSKnRZAxkmqNok6tv10Se,Crazy Town,0hdOk76DmEMYI6QV92mIin,216733,1999-11-04,75,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
1qGmxIGEuBEkj7bft72Kh0,Suite-Pee,5eAWCfyUhZtHHtBdNk56l1,System Of A Down,3sSfjX4fhZonjyZ10x0l0f,151733,1998,68,0.263,0.89,0,-2.913,1,0.177,0.0022,0.00348,0.306,0.286,190.389,151733,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
6g48vpikqU2atsrDXdGzKo,Clean My Wounds,1BBIIH0h76KN8gYeXFcPjR,Corrosion Of Conformity,6zdNTQ1uS2ZzFZkExMqcAh,212693,1994-09-26,56,0.544,0.917,5,-6.086,1,0.0788,0.0306,5.32e-06,0.064,0.642,140.639,212693,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,3RNrq3jvMZxD9ZyoOZbQOD,Korn,0gsiszk6JWYwAyGvaTTud4,255733,1998-08-18,79,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,255733,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
6PNvv1dmDbOWrAYwEcuKBX,Criminal,3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple,5gVBXH8MT6zfdRkjp7qT18,341533,1996-07-23,67,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97e-05,0.299,0.586,89.846,341533,20LKsiDZd4ALrlihncFcFa,90s ALTERNATIVE ROCK
