track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
6w4MlvpuxtbjGdL9YeTx89,Jazzy Belle,1G9G7WwrXka3Z1r7aIDjI7,Outkast,1IaBCF26OjgYwUCEPaIyC0,251666,1996-08-27,67,0.878,0.65,11,-8.08,0,0.252,0.0178,0.0,0.0408,0.101,92.03,251667,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,3y24n3XhZ96wgwRXjvS17T,Coolio,0BJYNipGyMrw4ngKDJXzXZ,240693,1995-11-07,88,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,240693,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
503OTo2dSqe7qk76rgsbep,Still D.R.E.,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,7q2B4M5EiBkqrlsNW8lB7N,270586,1999-11-16,85,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,71HM1CMYWeZzws8pyiEn46,260000,1992-11-17,84,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,260000,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,7dRdaGSxgcBdJnrOviQRuB,229826,1997-03-04,82,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
5g9lS8deSIxItFBmZRC4vN,Ambitionz Az A Ridah,1ZwdS5xdxEREPySFridCfh,2Pac,78iX7tMceN0FsnmabAtlOC,278386,1996-02-13,81,0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,278387,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,2P3cjUru4H3fhSXXNxE9kA,Blackstreet,2zGZLQiFl9UubtrVmtIkbi,304600,1996-09-09,81,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,304600,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,2WKdxPFRD7IqZvlIAvhMgY,Fugees,18XFe4CPBgVezXkxZP6rTb,298773,1996-02-13,80,0.765,0.29,4,-17.117,0,0.139,0.0279,0.0,0.571,0.506,92.409,298773,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,320266,1998-08-25,79,0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
4LwU4Vp6od3Sb08CsP99GC,The Next Episode,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,7q2B4M5EiBkqrlsNW8lB7N,161506,1999-11-16,82,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,37i9dQZF1DX186v583rmzp,I Love My '90s Hip-Hop
